sample_date,approved_site_name,latitude,longitude,location_filter,disease_present,pisaster_ochraceus,pycnopodia_helianthoides,pisaster_giganteus,pisaster_brevispinus,evasterias,patiria,strongylocentrotus_purpuratus,species_no_disease_evident,species_disease_evident,name,affiliation,add_to_map
2014-09-07,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,yes,yes,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jan Kocian,NULL,yes
2014-10-12,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,species not observed,species not observed,species not observed,yes,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jan Kocian,NULL,yes
2015-07-06,Coupeville Pier ST,48.222394,-122.68849,subtidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2017-03-06,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2017-04-13,Coupeville Pier ST,48.222394,-122.68849,subtidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2017-10-21,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2018-03-23,Coupeville Pier ST,48.222394,-122.68849,subtidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2018-09-24,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2019-11-01,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2020-10-08,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,,yes
2020-12-15,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jan Kocian,NULL,yes
2017-05-20,Ault Field,48.32743,-122.70048,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Bob Adams,,yes
2014-08-22,Coupeville Pier ST,48.222394,-122.68849,subtidal,yes,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jan Kocian,NULL,yes
2016-05-08,Couverden Islands,58.219224,-135.066218,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Solaster spp.;,Leptasterias spp.;,Art Kolter,,yes
2013-11-23,Cove 1,47.5874056,-122.37767,other,yes,yes,yes,species not observed,species not observed,yes,species not observed,species not observed,NONE,NONE,Laura James,,yes
2023-04-21,Cove Creek,60.777461,-148.66095,intertidal,no,species not observed,no,species not observed,species not observed,no,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Nicole Abeln,Anchorage Museum,yes
2017-05-27,Cove Creek Beach,44.28002167,-124.11167,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,Dick Vander Schaaf,The Nature Conservancy,yes
2017-07-25,Cove Creek Beach,44.28002167,-124.11167,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,Dick Vander Schaaf,The Nature Conservancy,yes
2017-09-17,Cove Creek Beach,44.28002167,-124.11167,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,Dick Vander Schaaf,The Nature Conservancy,yes
2018-06-15,Cove Creek Beach,44.28002167,-124.11167,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,Dick Vander Schaaf,The Nature Conservancy,yes
2018-07-12,Cove Creek Beach,44.28002167,-124.11167,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,Dick Vander Schaaf,The Nature Conservancy,yes
2015-05-19,Cove Creek,60.777461,-148.66095,intertidal,yes,species not observed,yes,species not observed,species not observed,no,species not observed,no,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Nicole Abeln,Anchorage Museum,yes
2019-01-26,Cove Creek,60.777461,-148.66095,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Leptasterias spp.;,Nicole Abeln,Anchorage Museum,yes
2019-02-22,Cove Creek,60.777461,-148.66095,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Nicole Abeln,Anchorage Museum,yes
2019-03-23,Cove Creek,60.777461,-148.66095,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Nicole Abeln,Anchorage Museum,yes
2013-09-04,Santa Cruz Wharf,36.960791,-122.02053,subtidal,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Steve Clabuesch,University of California Santa Cruz,yes
2014-05-28,Cowlitz Bay; Waldron Island,48.693109,-123.04276,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jill Bliss,,yes
2014-11-10,Craig; AK,55.45262,-133.10091,intertidal,yes,yes,yes,species not observed,yes,no,yes,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Joey Slowik,NULL,yes
2023-03-16,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,Cama Beach Foundation,yes
2023-06-26,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,no,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Russ Holmes,NULL,yes
2023-07-05,Cranberry Cove,48.13916,-122.51567,subtidal,yes,species not observed,yes,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,Cama Beach Foundation,yes
2023-07-26,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Russ Holmes,Cama Beach Foundation,yes
2023-08-24,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Russ Holmes,NULL,yes
2023-02-02,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,Cama Beach Foundation,yes
2023-03-16,Cranberry Cove,48.13916,-122.51567,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,Cama Beach Foundation,yes
2016-11-15,Crystal Cove,33.5708642,-117.83785,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jayson Smith,CSFU and CPP,yes
2021-10-16,Tongue Point ST,48.164316,-123.706767,subtidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Catalina Burch,UW SMEA,yes
2014-02-21,Shaws Cove,33.5447298,-117.79974,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Patsee Ober,Laguna Beach Bluebelt Coalition,yes
2021-09-05,Crescent Harbor,48.287102,-122.594562,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Mikki Hirschfeld,NULL,yes
2014-05-13,Cresent Bay,48.273647,-122.56801,other,yes,species not observed,yes,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Julie Barber,Swinomish Indian Tribal Community,yes
2021-05-30,Crofton,48.864278,-123.636246,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Anna Charles,,yes
2012-09-20,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2013-10-09,Croker Island,49.4298,-122.86378,subtidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE,Dermasterias imbricata; Solaster spp,Neil McDaniel,,yes
2013-10-29,Croker Island,49.4298,-122.86378,subtidal,yes,yes,yes,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,,yes
2014-01-03,Croker Island,49.4298,-122.86378,subtidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2014-02-21,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2015-01-20,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2015-10-14,Croker Island,49.4298,-122.86378,subtidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2016-08-12,Croker Island,49.4298,-122.86378,subtidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2016-09-14,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Pteraster tesselatus; Solaster spp.; Mediaster aequalis,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2016-09-20,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2018-04-25,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2018-06-07,Croker Island,49.4298,-122.86378,subtidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2018-08-27,Croker Island,49.4298,-122.86378,subtidal,yes,yes,yes,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2019-10-09,Croker Island,49.4298,-122.86378,subtidal,yes,no,no,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2020-10-02,Croker Island,49.4298,-122.86378,subtidal,yes,no,no,species not observed,species not observed,no,species not observed,species not observed,Henricia spp.; Mediaster aequalis,Dermasterias imbricata;,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2021-09-08,Croker Island,49.4298,-122.86378,subtidal,yes,yes,no,species not observed,species not observed,no,species not observed,species not observed,Henricia spp.;,Dermasterias imbricata;,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2015-05-27,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2014-01-16,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,yes,species not observed,species not observed,no,no,species not observed,species not observed,Evasterias troschelii,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,public observer,yes
2014-12-18,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,species not observed,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-01-23,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,public observer,yes
2015-02-15,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,no,yes,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-06-16,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-08-12,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-09-08,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-09-14,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-09-24,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,yes,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-10-02,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-10-21,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-11-23,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-12-22,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-01-12,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-04-15,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-03-01,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-03-16,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-03-28,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-04-17,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,no,no,yes,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-05-06,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-06-05,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms); Leptasterias aequalis,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-08-06,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,no,no,yes,species not observed,species not observed,Dermasterias imbricata;,Dermasterias imbricata;,Sabine Doenninghaus,,yes
2015-08-07,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,no,no,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-11-03,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2015-11-07,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-02-05,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-02-25,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-03-08,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-04-05,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-04-08,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-05-06,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-05-10,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,yes,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-05-21,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,yes,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Sabine Doenninghaus,,yes
2016-06-01,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-02-07,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata; Henricia spp.; Henricia leviuscula,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2014-11-17,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms); Evasterias troschelii,Sabine Doenninghaus,,yes
2014-07-21,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Sabine Doenninghaus,NULL,yes
2014-08-03,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,yes,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),Dermasterias imbricata,Sabine Doenninghaus,NULL,yes
2014-09-14,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),Unknown sea star,Sabine Doenninghaus,NULL,yes
2014-09-28,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,no,no,species not observed,no,species not observed,species not observed,Dermasterias imbricata,,Sabine Doenninghaus,NULL,yes
2016-06-17,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-09-17,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,yes,species not observed,no,no,no,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-09-28,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,no,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-10-09,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2016-10-13,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,no,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Sabine Doenninghaus,,yes
2017-01-04,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-01-15,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-01-24,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-02-13,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-03-26,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2017-06-15,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Sabine Doenninghaus,,yes
2019-01-30,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2019-03-05,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms);,Sabine Doenninghaus,,yes
2019-05-31,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Sabine Doenninghaus,,yes
2019-08-01,Cromwell; Gig Harbor,47.269846,-122.61407,intertidal,yes,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Sabine Doenninghaus,,yes
