lumping_code,lumping_name,marine_species_definition,WoRMS_AphiaID,kingdom,phylum,class,order,family,genus,species,load_date
OTHRED,Other Red Algae,red algae other than those scored separately (varies by group and over time),852,Plantae,(Division) Rhodophyta,NULL,NULL,NULL,NULL,NULL,2023-10-24
OTHSUB,Other Substrate,substrate other than rock or sand; includes dead barnacles; mussels; etc. where these are not scored separately,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
PATMIN,Patiria miniata,patiria miniata,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,2023-10-24
PELLIM,Pelvetiopsis limitata,pelvetiopsis limitata,372511,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis limitata,2023-10-24
PHRSAB,Phragmatopoma/Sabellaria spp,phragmatopoma californica at sites south of Bodega; but may include other species of sabellaridae at more northern sites,979,Animalia,Annelida,Polychaeta,NULL,Sabellariidae,NULL,NULL,2023-10-24
PHYSPP,Phyllospadix spp,primarily phyllospadix scouleri/torreyi overstory but includes p. serrulatus at northern sites,370041,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,2023-10-24
PHYUND,Phyllospadix spp understory,phyllospadix spp occurring under other species of algae/plants,370041,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,2023-10-24
PISBRE,Pisaster brevispinus,pisaster brevispinus,240757,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster brevispinus,2023-10-24
PISGIG,Pisaster giganteus,pisaster giganteus,240758,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,2023-10-24
PISOCH,Pisaster ochraceus,pisaster ochraceus,240755,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,2023-10-24
POLPOL,Pollicipes polymerus,pollicipes polymerus,535329,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,Pollicipes polymerus,2023-10-24
PORSPP,Porphyra spp.,porphyra spp,603075,Plantae,(Division) Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,NULL,2023-10-24
POSPAL,Postelsia palmaeformis,postelsia palmaeformis,372518,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Postelsia,Postelsia palmaeformis,2023-10-24
PYCHEL,Pycnopodia helianthoides,pycnopodia helianthoides,240764,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,2023-10-24
ROCK,Rock,bare; unconsolidated substrates larger than sand/gravel (including cobble; rocks; and boulders) and all consolidated substrates (i.e.; bedrock) that contain no obvious living organisms or tar (epoxy corner markers and blue-green algal films are scored as ,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
SAND,Sand,granular; particulate (fine sand to gravel) substrate. Photoplots: score ,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
SARHOR,Sargassum horneri,sargassum horneri,494853,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,2023-10-24
SARMUT,Sargassum muticum,sargassum muticum,494791,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum muticum,2023-10-24
SCYSPP,Scytosiphon/Melanosiphon spp,scytosiphon spp; melanosiphon spp\n,830,Chromista,Ochrophyta,Phaeophyceae,NULL,NULL,NULL,NULL,2023-10-24
SEMCAR,Semibalanus cariosus,semibalanus cariosus,594746,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus cariosus,2023-10-24
SEPBRA,Septifer bifurcatus; Brachidontes adamsianus,septifer bifurcatus/brachydontes adamsianus,211,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,NULL,NULL,2023-10-24
SILCOM,Silvetia compressa,silvetia compressa,374120,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Silvetia,Silvetia compressa,2023-10-24
SILHES,Silvetia/Hesperophycus,silvetia compressa/hesperophycus californicus,143723,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,NULL,NULL,2023-10-24
STRFRA,Strongylocentrotus franciscanus,strongylocentrotus franciscanus,591102,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Mesocentrotus franciscanus,2023-10-24
STRPUR,Strongylocentrotus purpuratus,strongylocentrotus purpuratus,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus,2023-10-24
TAR,Tar,fresh or weathered oil or tar coating on the substrate,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
TETRUB,Tetraclita rubescens,tetraclita rubescens,733565,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita squamosa,2023-10-24
ULVENT,Ulva/Enteromorpha,ulva spp/enteromorpha spp,146216,Plantae,(Division) Chlorophyta,Ulvophyceae,NULL,NULL,NULL,NULL,2023-10-24
UNDPIN,Undaria pinnatifida,undaria pinnatifida,145721,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,2023-10-24
UNIDEN,Unidentified,cannot tell if plant; invertebrate; or substrate,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-10-24
ZOSMAR,Zostera marina,zostera marina,495077,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,2023-10-24
