species_code,marine_species_name,marine_species_definition,WoRMS_AphiaID,taxonomic_source,kingdom,phylum,class,order,family,genus,species,load_date
LMDMUS,limpets 5-15 mm in size on mussels,limpets 5-15 mm in size on mussels,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LMDROC,limpets 5-15 mm in size on rock,limpets 5-15 mm in size on rock,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LOMHAK,lomentaria hakodatensis,lomentaria hakodatensis,232230,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,Lomentaria hakodatensis,10/24/2023
LOTGIG,lottia gigantea,lottia gigantea,456593,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia gigantea,10/24/2023
LOTSCA,lottia scabra; lottia conus,lottia scabra; lottia conus; added for collections only,160336,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,10/24/2023
LOTSPP,lottia spp,lottia spp  other than lottia gigantea,160336,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,10/24/2023
LSMALL,limpets under 5 mm in size on all substrate,limpets under 5 mm in size on all substrate,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LSMMUS,limpets under 5 mm in size on mussels,limpets under 5 mm in size on mussels,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
LSMROC,limpets under 5 mm in size on rock,limpets under 5 mm in size on rock,391063,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,NULL,NULL,NULL,10/24/2023
MACLIV,macron lividus,macron lividus,489193,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,[unassigned] Buccinoidea,Macron,Macron lividus,10/24/2023
MACSPP,macrocystis pyrifera,macrocystis pyrifera; added for collections only,232231,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,10/24/2023
MASSPP,mastocarpus spp,mastocarpus papillatus/jardinii,144163,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,10/24/2023
MAZAFF,mazzaella affinis,mazzaella affinis,371703,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella affinis,10/24/2023
MAZLEP,mazzaella leptorhynchos,mazzaella leptorhynchos,371705,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella leptorhynchos,10/24/2023
MAZPAR,mazzaella parksii,mazzaella parksii,376220,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella parksii,10/24/2023
MAZSPP,mazzaella spp,mazzaella spp (=iridaea spp),369878,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,NULL,10/24/2023
MEXLUG,mexacanthina lugubris,mexacanthina lugubris,404505,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Mexacanthina,Mexacanthina lugubris,10/24/2023
MICBOR,microcladia borealis,microcladia borealis,372610,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Microcladia,Microcladia borealis,10/24/2023
MOPSPP,mopalia spp,mopalia spp,385567,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,NULL,10/24/2023
MYTCAL,mytilus californianus,primarily mytilus californianus; but may include m. trossulus/galloprovincialis; septifer; and brachydontes where photoplots scored in lab or where juvenile species were too small to id in the field,367837,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus californianus,10/24/2023
MYTPOL,mytilus californianus; pollicipes polymerus,mytilus californianus; pollicipes polymerus; combined for use in lottia cover data,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
MYTTRO,mytilus trossulus; galloprovincialis; edulis,mytilus trossulus,138228,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NULL,10/24/2023
NEMHEL,nemalion elminthoides,nemalion helminthoides,145765,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Nemaliales,Nemaliaceae,Nemalion,Nemalion elminthoides,10/24/2023
NEOLAR,neorhodomela larix,neorhodomela larix,372616,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela larix,10/24/2023
NEOODO,neorhodomela oregona/odonthalia floccosa,neorhodomela oregona/odonthalia spp,143674,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,NULL,NULL,10/24/2023
NERLUE,nereocystis luetkeana,nereocystis luetkeana,240752,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,10/24/2023
NONCRU,non-coralline crusts,any thin; flattened; crust-like algae other than coralline crusts,3,World Register of Marine Species: www.marinespecies.org,Plantae,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
NONE,none,no additional species found on point,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
NORNOR,norrisia norrisi,norrisia norrisi,534181,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,Norrisia norrisii,10/24/2023
NUCCAN,nucella canaliculata,nucella canaliculata,404205,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella canaliculata,10/24/2023
NUCEMA,nucella emarginata; nucella ostrina,nucella emarginata/ostrina,138199,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,NULL,10/24/2023
NUCLAM,nucella lamellosa,nucella lamellosa,404218,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lamellosa,10/24/2023
NUCLIM,nucella lima,nucella lima,404384,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lima,10/24/2023
NUCSPP,nucella spp,nucella spp,138199,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,NULL,10/24/2023
NUTSPP,nuttallina spp,nuttallina spp,385576,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,NULL,10/24/2023
OCECIR,ocenebra circumtexta,ocenebra circumtexta,463980,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,Ocenebra circumtexta,10/24/2023
OCEINT,ocenebra interfossa,ocenebra interfossa,403751,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,Ocinebrina interfossa,10/24/2023
OCELUR,ocinebrina lurida,ocenebra lurida,403752,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,Ocinebrina lurida,10/24/2023
OCEPOU,roperia poulsoni,ocenebra poulsoni,404119,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Roperia,Roperia poulsoni,10/24/2023
OCESPP,ocenebra spp,ocenebra spp,138200,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,NULL,10/24/2023
ODOFLO,odonthalia floccosa,odonthalia floccosa,372621,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,10/24/2023
OKEROS,okenia rosacea,okenia rosacea,599485,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Okenia rosacea,10/24/2023
ONCBIL,onchidoris bilamellata,onchidoris bilamellata,150457,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,Onchidoris bilamellata,10/24/2023
ONCBOR,onchidella borealis,onchidella borealis,446167,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,Onchidella,Onchidella borealis,10/24/2023
OPAREC,opaleye recruits,juvenile opaleye,280865,World Register of Marine Species: www.marinespecies.org,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,Girella nigricans,10/24/2023
OPASPP,opalia spp,opalia spp.,137948,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Opalia,NULL,10/24/2023
OPHSPP,ophlitaspongia spp,ophlitaspongia spp,131873,World Register of Marine Species: www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Ophlitaspongia,NULL,10/24/2023
ORTKOE,orthasterias koehleri,orthasterias koehleri,255048,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Orthasterias koehleri,10/24/2023
OSMLAU,osmundea spp; laurencia spp,osmundea/laurencia spp,494006,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,NULL,NULL,10/24/2023
OSMSPP,osmundea spp,osmundea spp,143921,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,NULL,10/24/2023
OTHALG,other algae; other plants,algae/plants that cannot be identified to species or group,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHBAR,other barnacle,barnacle other than chthamalus spp; balanus glandula; pollicipes;tetraclita; or semibalanus,1082,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,NULL,NULL,NULL,NULL,10/24/2023
OTHBRO,other brown algae,brown algae other than those scored separately (varies by group and over time),7,World Register of Marine Species: www.marinespecies.org,Chromista,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHER,other algae; other plant; other animal,unidentified algae/plant/animal,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHGRE,other green algae,green algae other than those scored separately (varies by group and over time),801,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Chlorophyta,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHINV,other invertebrates,invertebrates other than those scored separately (varies by group and over time),2,World Register of Marine Species: www.marinespecies.org,Animalia,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHMOL,other molluscs,unidentified mollusc,51,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHRED,other red algae,red algae other than those scored separately (varies by group and over time),852,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHSEA,other sea star,sea star other than those species scored separately; may vary by group but generally other than PISOCH; HENSPP; LEPTAS; PATMIN,123080,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,NULL,NULL,NULL,NULL,10/24/2023
OTHSPO,other sponge,sponge other than haliclonia--others?,558,World Register of Marine Species: www.marinespecies.org,Animalia,Porifera,NULL,NULL,NULL,NULL,NULL,10/24/2023
OTHSUB,other substrate,substrate other than rock or sand; includes dead barnacles; mussels; etc. where these are not scored separately,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
PACCRA,pachygrapsus crassipes,pachygrapsus crassipes,395016,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Pachygrapsus crassipes,10/24/2023
PACSPP,pachycheles spp,pachycheles spp,205958,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,NULL,10/24/2023
PAGBER,pagurus beringanus,pagurus beringanus,366657,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus beringanus,10/24/2023
PAGGRA,pagurus granosimanus,pagurus granosimanus,366694,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus granosimanus,10/24/2023
PAGHIR,pagurus hirsutiusculus,pagurus hirsutiusculus,366699,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus hirsutiusculus,10/24/2023
PAGSAM,pagurus samuelis,pagurus samuelis,366786,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus samuelis,10/24/2023
PAGSPP,pagurus spp,pagurus species other than p. beringanus; p. granosimanus; p. hirsutiusculus; or p. samuelis; may include juveniles of any pagurus species,106854,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,NULL,10/24/2023
PATMIN,patiria miniata,patiria miniata,382131,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,10/24/2023
PELHYB,pelvetiopsis hybrida,pelvetiopsis hybrida,370005,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,NULL,10/24/2023
PELLIM,pelvetiopsis limitata,pelvetiopsis limitata,372511,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis limitata,10/24/2023
PETROC,petrocelis,petrocelis phase of mastocarpus spp.,144163,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,10/24/2023
PETRUG,petrospongium rugosum,petrospongium rugosum,371938,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Petrospongiaceae,Petrospongium,Petrospongium rugosum,10/24/2023
PETSPP,petrolisthes spp,petrolisthes spp,206848,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,NULL,10/24/2023
PHRSAB,phragmatopoma spp; sabellaria spp,phragmatopoma californica at sites south of Bodega; but may include other species of sabellaridae at more northern sites,979,World Register of Marine Species: www.marinespecies.org,Animalia,Annelida,Polychaeta,NULL,Sabellariidae,NULL,NULL,10/24/2023
PHYEGR,phyllospadix on egregia,phyllospadix overlaying egregia; used for short period in transects,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,10/24/2023
PHYSCO,phyllospadix scouleri,phyllospadix scouleri,374707,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix scouleri,10/24/2023
PHYSCP,percentage of phyllospadix scouleri,qualitative estimate of percent cover of p. scouleri along transect,374707,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix scouleri,10/24/2023
PHYSPP,phyllospadix spp,primarily phyllospadix scouleri/torreyi overstory but includes p. serrulatus at northern sites,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,10/24/2023
PHYTOP,percentage of phyllospadix torreyi,qualitative estimate of percent cover of p. torreyi along transect,374709,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix torreyi,10/24/2023
PHYTOR,phyllospadix torreyi,phyllospadix torreyi,374709,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix torreyi,10/24/2023
PHYUND,phyllospadix spp understory,phyllospadix spp occurring under other species of algae/plants,370041,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,NULL,10/24/2023
PISBRE,pisaster brevispinus,pisaster brevispinus,240757,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster brevispinus,10/24/2023
PISGIG,pisaster giganteus,pisaster giganteus,240758,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,10/24/2023
PISOCH,pisaster ochraceus,pisaster ochraceus,240755,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,10/24/2023
PLOCAR,plocamium pacificum,plocamium cartilagineum,495874,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium cartilagineum,10/24/2023
PLOSPP,plocamium spp,plocamium spp,144223,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,NULL,10/24/2023
PLOVIO,plocamium violaceum,plocamium violaceum,372633,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,Plocamium violaceum,10/24/2023
POLPOL,pollicipes polymerus,pollicipes polymerus,535329,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,Pollicipes polymerus,10/24/2023
POLSPP,polysiphonia spp,polysiphonia spp,143853,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,NULL,10/24/2023
PORSPP,pyropia spp,porphyra spp,603075,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,NULL,10/24/2023
POSPAL,postelsia palmaeformis,postelsia palmaeformis,372518,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Postelsia,Postelsia palmaeformis,10/24/2023
PRISPP,prionitis spp,prionitis spp,144044,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Halymeniales,Grateloupiaceae,Grateloupia,NULL,10/24/2023
PSERRU,phyllospadix serrulatus,phyllospadix serrulatus,374708,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,Phyllospadix serrulatus,10/24/2023
PTEROS,pterosiphonia spp,pterosiphonia spp,143922,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pterosiphonia,NULL,10/24/2023
PTESPP,pterocladiella spp,pterocladiella spp,144137,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gelidiales,Pterocladiaceae,Pterocladiella,NULL,10/24/2023
PUGSPP,pugettia spp,pugettia spp,240779,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,NULL,10/24/2023
PYCHEL,pycnopodia helianthoides,pycnopodia helianthoides,240764,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,10/24/2023
RECOVE,recovery,recovery,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
ROCK,rock,bare; unconsolidated substrates larger than sand/gravel (including cobble; rocks; and boulders) and all consolidated substrates (i.e.; bedrock) that contain no obvious living organisms or tar (epoxy corner markers and blue-green algal films are scored as ,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
SAND,sand,granular; particulate (fine sand to gravel) substrate. Photoplots: score ,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
SARAGA,sargassum agardhianum,sargassum agardhianum,494906,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum agardhianum,10/24/2023
SARHOR,sargassum horneri,sargassum horneri,494853,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,10/24/2023
SARMUT,sargassum muticum,sargassum muticum,494791,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum muticum,10/24/2023
SCULPI,sculpins,sculpin,154417,World Register of Marine Species: www.marinespecies.org,Animalia,Chordata,Teleostei,Perciformes,NULL,NULL,NULL,10/24/2023
SCYSPP,scytosiphon spp; melanosiphon spp,scytosiphon spp; melanosiphon spp\n,830,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,NULL,NULL,NULL,NULL,10/24/2023
SEMBAL,balanus glandula; semibalanus balanoides,balanus glandula/semibalanus balanoides; unique to Sitka sites; made inactive so new code could be used (BALSEM),106041,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,NULL,NULL,NULL,10/24/2023
SEMCAR,semibalanus cariosus,semibalanus cariosus,594746,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus cariosus,10/24/2023
SEPBIF,mytilisepta bifurcata,prev. septifer bifurcatus; mytilisepta bifurcata,546021,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Septifer,Septifer bifurcatus,10/24/2023
SEPBRA,mytilisepta bifurcata; brachidontes adamsianus,septifer bifurcatus/brachydontes adamsianus,211,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,NULL,NULL,10/24/2023
SILCOM,silvetia compressa,silvetia compressa,374120,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Silvetia,Silvetia compressa,10/24/2023
SILHES,silvetia compressa; hesperophycus californicus,silvetia compressa/hesperophycus californicus,143723,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,NULL,NULL,10/24/2023
SPISPP,spirorbis spp,any species in the subfamily Spirorbinae,129642,World Register of Marine Species: www.marinespecies.org,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,NULL,10/24/2023
STRDRO,strongylocentrotus droebachiensis,strongylocentrotus droebachiensis,124321,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus droebachiensis,10/24/2023
STRFRA,strongylocentrotus franciscanus,strongylocentrotus franciscanus,591102,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Mesocentrotus franciscanus,10/24/2023
STRPUR,strongylocentrotus purpuratus,strongylocentrotus purpuratus,240747,World Register of Marine Species: www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus,10/24/2023
TAOLEN,taonia lennebackerae,taonia lennebackerae,372695,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,Taonia lennebackerae,10/24/2023
TAR,tar,fresh or weathered oil or tar coating on the substrate,NA,MARINe researchers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
TEGAUR,tegula aureotincta,tegula aureotincta,534186,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula aureotincta,10/24/2023
TEGBRU,tegula brunnea,tegula brunnea,534187,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula brunnea,10/24/2023
TEGEIS,tegula eiseni,tegula eiseni,413469,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula eiseni,10/24/2023
TEGFUG,tegula funebralis; tegula gallina,tegula funebralis/gallina,413467,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,NULL,10/24/2023
TEGFUN,tegula funebralis,tegula funebralis,534190,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula funebralis,10/24/2023
TEGGAL,tegula gallina,tegula gallina,534191,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula gallina,10/24/2023
TEGSPP,tegula spp,tegula spp,413467,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,NULL,10/24/2023
TETRUB,tetraclita rubescens,tetraclita rubescens,733565,World Register of Marine Species: www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita squamosa,10/24/2023
TONSPP,tonicella spp,tonicella spp,138090,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,NULL,10/24/2023
TRISPP,trimusculus spp,trimusculus spp,138565,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Ellobiida,Trimusculidae,Trimusculus,NULL,10/24/2023
TUNICA,tunicate,tunicate,1821,World Register of Marine Species: www.marinespecies.org,Animalia,Chordata,NULL,NULL,NULL,NULL,NULL,10/24/2023
ULOSPP,ulothrix spp,ulothrix spp,144287,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,NULL,10/24/2023
ULVENT,ulva spp; kornmannia spp; monostroma spp,ulva spp/enteromorpha spp,146216,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,NULL,NULL,NULL,NULL,10/24/2023
